key,portugues,espanol,english,francais,deutsch,italiano,nederlands,magyar,turk,русский,ελληνικά,bahasaindonesia
HIGHSCORE 1P,PONTUAÇÃO 1J,RECORD 1J,HIGHSCORE 1P,MEILLEUR SCORE 1P,HIGHSCORE P1,PUNTEGGIO PIÙ ALTO 1P,HIGHSCORE 1S,REKORD 1J,REKOR 1O,РЕКОРД 1И,ΡΕΚΟΡ 1Π,SKOR TERTINGGI 1P
HIGHSCORE 2P,PONTUAÇÃO 2J,RECORD 2J,HIGHSCORE 2P,MEILLEUR SCORE 2P,HIGHSCORE P2,PUNTEGGIO PIÙ ALTO 2P,HIGHSCORE 2S,REKORD 2J,REKOR 2O,РЕКОРД 2И,ΡΕΚΟΡ 2Π,SKOR TERTINGGI 2P
HIGHSCORE 3P,PONTUAÇÃO 3J,RECORD 3J,HIGHSCORE 3P,MEILLEUR SCORE 3P,HIGHSCORE P3,PUNTEGGIO PIÙ ALTO 3P,HIGHSCORE 3S,REKORD 3J,REKOR 3O,РЕКОРД 3И,ΡΕΚΟΡ 3Π,SKOR TERTINGGI 3P
HIGHSCORE 4P,PONTUAÇÃO 4J,RECORD 4J,HIGHSCORE 4P,MEILLEUR SCORE 4P,HIGHSCORE P4,PUNTEGGIO PIÙ ALTO 4P,HIGHSCORE 4S,REKORD 4J,REKOR 4O,РЕКОРД 4И,ΡΕΚΟΡ 4Π,SKOR TERTINGGI 4P
PLAY GAME,JOGAR,JUGAR,PLAY GAME,JOUER,SPIELEN,GIOCARE,SPELEN,JÁTÉK,OYNA,ИГРАТЬ,ΠΑΙΞΕ,MAINKAN
OPTIONS,OPÇÕES,OPCIONES,OPTIONS,OPTIONS,OPTIONEN,OPZIONI,OPTIES,BEÁLLÍTÁSOK,AYARLAR,НАСТРОЙКИ,ΕΠΙΛΟΓΕΣ,PENGATURAN
CONSTRUCTION,CONSTRUÇÃO,CONSTRUCCIÓN,CONSTRUCTION,CONSTRUCTION,BAUMODUS,COSTRUZIONE,BOUWMODUS,ÉPÍTÉS,İNŞA,СТРОЙКА,ΚΑΤΑΣΚΕΥΗ,KONSTRUKSI
EXIT GAME,SAIR,SALIR,EXIT GAME,QUITTER LE JEU,SPIEL VERLASSEN,ESCI DAL GIOCO,AFSLUITEN,KILÉPÉS,ÇIKIŞ,ВЫХОД,ΕΞΟΔΟΣ,KELUAR GAME
EXIT GAME?,SAIR DO JOGO?,SALIR DEL JUEGO?,EXIT GAME?,QUITTER LE JEU ?,SPIEL VERLASSEN?,USCIRE DAL GIOCO?,SPEL VERLATEN?,KILÉPÉS A JÁTÉKBÓL?,OYUNDAN ÇIK?,ВЫЙТИ ИЗ ИГРЫ?,ΕΞΟΔΟΣ ΑΠΟ ΤΟ ΠΑΙΧΝΙΔΙ;,KELUAR GAME?
